%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	h	v
s	1	0	5	5	1	n	p	p	ERM_1090.jpg	ERM_1090.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.5539	2.5539	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ERN_2890.jpg	ERN_2890.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	0.5167	0.5167	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	3	3	1	n	p	p	ALinstruct.jpg	ALinstruct.jpg		
s	1	0	5	5	1	n	p	p	ALX_3102.jpg	ALX_3102.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	5.1991	5.1991	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALX_9040.jpg	ALX_9040.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	0.4496	0.4496	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALM_8231.jpg	ALM_8231.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	2.0097	2.0097	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALM_1201.jpg	ALM_1201.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.7145	1.7145	1	n	p	p	crosshair.jpg	crosshair.jpg		
s	1	0	5	5	1	n	p	p	ALN_7211.jpg	ALN_7211.jpg		
s	1	0	0.5	0.5	1	n	p	p	blank.jpg	blank.jpg		
s	1	0	4.5	4.5	1	"""0123456789"""	p	p	distress.jpg	distress.jpg		
s	1	0	1.0163	1.0163	1	n	p	p	crosshair.jpg	crosshair.jpg		
%												
